Timestamp	Sensor	Voltage	Amperage	Wattage	MaxVolts	MinVolts	MaxAmps	MinAmps
2012/06/01 01:40:55	1	122.790740741	1.40567502987	172.569490907	125.333333333	119.5	1.68100358423	1.10394265233
2012/06/01 01:42:57	1	122.60462963	1.40543608124	172.275059737	125.944444444	119.222222222	1.73476702509	1.17204301075
2012/06/01 01:44:59	1	122.510185185	1.41320191159	173.115286075	126.777777778	119.666666667	1.74910394265	1.15770609319
2012/06/01 01:47:01	1	122.902777778	1.40764635603	173.006262445	125.5	118.722222222	1.77419354839	1.17204301075
2012/06/01 01:49:03	1	122.639814815	1.39868578256	171.531288995	125.277777778	118.666666667	1.78136200717	1.15770609319
2012/06/01 01:51:06	1	122.884259259	1.39438470729	171.397145891	125.555555556	118.944444444	1.76702508961	1.10752688172
2012/06/01 01:53:08	1	122.719444444	1.38303464755	169.685580114	125.5	119.722222222	1.73476702509	1.10394265233
2012/06/01 01:55:10	1	122.808333333	1.40083632019	171.977817603	126.333333333	119.666666667	1.70609318996	1.1146953405
2012/06/01 01:57:12	1	122.546296296	1.38864994026	170.177084163	125.833333333	119.444444444	1.69534050179	1.16129032258
2012/06/01 01:59:14	1	122.755555556	1.40639187575	172.605326563	126.055555556	119.444444444	1.78136200717	1.11111111111
2012/06/01 02:01:17	1	122.703703704	1.39719235364	171.444029603	126.0	120.0	1.74193548387	1.13261648746
2012/06/01 02:03:19	1	122.455555556	1.40621266428	172.207420682	125.666666667	118.888888889	1.76344086022	1.12903225806
2012/06/01 02:05:21	1	122.862962963	1.39713261649	171.625441391	125.833333333	119.722222222	1.73476702509	1.12544802867
2012/06/01 02:07:23	1	122.885185185	1.41302270012	173.667891278	125.222222222	119.611111111	1.73835125448	1.14695340502
2012/06/01 02:09:25	1	122.592592593	1.40483870968	172.181239214	125.666666667	119.111111111	1.70967741935	1.06451612903
2012/06/01 02:11:27	1	122.363888889	1.40698924731	172.184036904	125.944444444	119.611111111	1.70967741935	1.11827956989
2012/06/01 02:13:30	1	122.439814815	1.39115890084	170.323426922	125.444444444	118.5	1.70609318996	1.11111111111
2012/06/01 02:15:32	1	122.62037037	1.38422939068	169.680044471	125.777777778	118.111111111	1.72043010753	1.09677419355
2012/06/01 02:17:34	1	122.314814815	1.39486260454	170.592529537	124.888888889	118.833333333	1.73476702509	1.09318996416
2012/06/01 02:19:36	1	121.974074074	1.40794504182	171.721833931	125.833333333	119.111111111	1.71684587814	1.13978494624
2012/06/01 02:21:38	1	122.441666667	1.38757467145	169.875438072	125.944444444	119.388888889	1.67025089606	1.10394265233
2012/06/01 02:23:41	1	122.665740741	1.39713261649	171.369311695	125.555555556	119.111111111	1.73835125448	1.10035842294
2012/06/01 02:25:43	1	122.489814815	1.38906810036	170.141756272	125.444444444	118.555555556	1.70967741935	1.11827956989
2012/06/01 02:27:45	1	122.552777778	1.40161290323	171.79165671	125.111111111	118.833333333	1.65591397849	1.16845878136
2012/06/01 02:29:47	1	122.647222222	1.40227001195	171.960533652	125.5	119.611111111	1.71326164875	1.13261648746
2012/06/01 02:31:49	1	122.644444444	1.40698924731	172.516889022	125.166666667	120.388888889	1.6917562724	1.09677419355
2012/06/01 02:33:51	1	122.493518519	1.41248506571	173.03519846	125.388888889	120.055555556	1.73476702509	1.14336917563
2012/06/01 02:35:54	1	122.526851852	1.39701314217	171.152435948	124.777777778	119.611111111	1.69892473118	1.15053763441
2012/06/01 02:37:56	1	122.328703704	1.37682198327	168.423108323	125.222222222	119.0	1.67741935484	1.12544802867
2012/06/01 02:39:58	1	122.590740741	1.36899641577	167.811784813	124.944444444	118.166666667	1.73476702509	1.1146953405
2012/06/01 02:42:00	1	122.412962963	1.37676224612	168.541464224	125.666666667	119.277777778	1.66666666667	1.08243727599
2012/06/01 02:44:02	1	122.496296296	1.40931899642	172.618335988	124.777777778	119.833333333	1.68458781362	1.18996415771
2012/06/01 02:46:05	1	122.313888889	1.40477897252	171.80007965	125.444444444	119.222222222	1.69892473118	1.12903225806
2012/06/01 02:48:07	1	122.842592593	1.38142174432	169.630797823	126.5	119.5	1.68458781362	1.12544802867
2012/06/01 02:50:09	1	122.830555556	1.40322580645	172.320333864	125.777777778	118.555555556	1.73835125448	1.14336917563
2012/06/01 02:52:11	1	122.590740741	1.38446833931	169.67758861	125.277777778	119.611111111	1.6917562724	1.10035842294
2012/06/01 02:54:13	1	122.422222222	1.39563918757	170.849462366	125.055555556	119.111111111	1.68100358423	1.10752688172
2012/06/01 02:56:16	1	122.237037037	1.40483870968	171.697690163	125.333333333	118.111111111	1.68100358423	1.15770609319
2012/06/01 02:58:18	1	122.42037037	1.40161290323	171.601121731	125.111111111	118.333333333	1.71326164875	1.16129032258
2012/06/01 03:00:20	1	122.625925926	1.41296296296	173.224259923	126.055555556	119.111111111	1.70250896057	1.10035842294
2012/06/01 03:02:22	1	122.35	1.41009557945	172.533857693	125.444444444	118.388888889	1.72043010753	1.20788530466
2012/06/01 03:04:24	1	122.731481481	1.39115890084	170.720071685	125.611111111	119.888888889	1.69534050179	1.11111111111
2012/06/01 03:06:26	1	122.298148148	1.40143369176	171.394374751	125.5	118.611111111	1.74551971326	1.13978494624
2012/06/01 03:08:29	1	122.396296296	1.37437275986	168.170473251	125.222222222	118.444444444	1.65591397849	1.12903225806
2012/06/01 03:10:31	1	122.706481481	1.3821385902	169.601198062	125.222222222	119.222222222	1.69534050179	1.1146953405
2012/06/01 03:12:33	1	122.360185185	1.41021505376	172.513872295	125.111111111	119.222222222	1.72401433692	1.10752688172
2012/06/01 03:14:35	1	122.441666667	1.38154121864	169.115179875	126.055555556	119.222222222	1.75627240143	1.1146953405
2012/06/01 03:16:37	1	122.301851852	1.40406212664	171.701642772	125.444444444	119.055555556	1.73835125448	1.12903225806
2012/06/01 03:18:40	1	122.458333333	1.40376344086	171.869490907	125.611111111	119.722222222	1.71684587814	1.16129032258
2012/06/01 03:20:42	1	122.467592593	1.37891278375	168.855777911	125.333333333	118.833333333	1.73835125448	1.07885304659
2012/06/01 03:22:44	1	122.482407407	1.38739545998	169.909687376	125.222222222	119.555555556	1.68458781362	1.12544802867
2012/06/01 03:24:46	1	122.347222222	1.40011947431	171.272763175	125.5	119.111111111	1.74193548387	1.10752688172
2012/06/01 03:26:48	1	122.271296296	1.4004181601	171.227489048	125.111111111	118.722222222	1.75985663082	1.12186379928
2012/06/01 03:28:50	1	122.516666667	1.39713261649	171.223523165	125.555555556	118.388888889	1.7311827957	1.16487455197
2012/06/01 03:30:53	1	122.425	1.39892473118	171.284484933	125.666666667	118.777777778	1.7311827957	1.14336917563
2012/06/01 03:32:55	1	122.440740741	1.41493428913	173.239987389	125.611111111	118.888888889	1.69534050179	1.14695340502
